#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     2.93587     2.93587           0
           2     2.35646     2.64616    0.204852
           3     2.14308     2.47847    0.193387
           4     2.08747     2.38072    0.167937
           5     2.08286     2.32115     0.14453
           6     2.02423     2.27166    0.128635
           7     1.98361     2.23051    0.116655
           8     1.98111     2.19934    0.106157
           9     1.95985     2.17273   0.0976396
          10     1.94416     2.14987   0.0905114
          11     1.93333     2.13018   0.0843965
          12     1.94402     2.11467   0.0787765
          13     1.95003     2.10201   0.0737278
          14     1.98717      2.0938   0.0689163
          15     1.95224     2.08437   0.0649648
          16     1.95834     2.07649   0.0613801
          17     1.92999     2.06787   0.0583713
          18     1.99197     2.06366   0.0552806
          19      1.9961      2.0601   0.0524853
          20     1.96763     2.05548   0.0500643
          21     1.94813     2.05036   0.0479405
          22     2.02344     2.04914    0.045777
          23     2.04804     2.04909   0.0437867
          24     2.00396     2.04721   0.0420026
          25     2.03111     2.04657   0.0403275
          26     2.03018     2.04594   0.0387813
          27     1.95576      2.0426   0.0374885
          28     2.00402     2.04122    0.036175
          29     2.06249     2.04195    0.034935
          30     2.02751     2.04147   0.0337738
