#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.95724     1.95724           0
           2     1.57097     1.76411    0.136568
           3     1.42872     1.65231    0.128925
           4     1.39165     1.58715    0.111958
           5     1.38857     1.54743   0.0963533
           6     1.34948     1.51444   0.0857566
           7     1.32241     1.48701   0.0777698
           8     1.32074     1.46622   0.0707711
           9     1.30656     1.44848   0.0650931
          10     1.29611     1.43325   0.0603409
          11     1.28889     1.42012   0.0562644
          12     1.29601     1.40978   0.0525177
          13     1.30002     1.40134   0.0491519
          14     1.32478     1.39587   0.0459442
          15     1.30149     1.38958   0.0433099
          16     1.30556     1.38433   0.0409201
          17     1.28666     1.37858   0.0389142
          18     1.32798     1.37577   0.0368537
          19     1.33073      1.3734   0.0349902
          20     1.31175     1.37032   0.0333762
          21     1.29876     1.36691   0.0319603
          22     1.34896     1.36609    0.030518
          23     1.36536     1.36606   0.0291911
          24     1.33597     1.36481   0.0280018
          25     1.35407     1.36438    0.026885
          26     1.35346     1.36396   0.0258542
          27     1.30384     1.36173   0.0249924
          28     1.33601     1.36081   0.0241166
          29       1.375      1.3613     0.02329
          30     1.35167     1.36098   0.0225159
