#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.59311     1.59311           0
           2     1.59637     1.59474  0.00115249
           3     1.59696     1.59548 0.000977211
           4       1.597     1.59586 0.000803391
           5     1.59699     1.59609 0.000673717
           6     1.59696     1.59623  0.00057694
           7     1.59704     1.59635 0.000505898
           8     1.59695     1.59642 0.000448266
           9     1.59694     1.59648 0.000402109
          10     1.59704     1.59654 0.000365787
          11     1.59699     1.59658 0.000334818
          12     1.59706     1.59662 0.000309324
          13     1.59682     1.59663 0.000285921
          14     1.59681     1.59665 0.000265772
          15       1.597     1.59667 0.000249084
          16     1.59698     1.59669 0.000234284
          17     1.59695     1.59671 0.000221017
          18     1.59703     1.59672 0.000209481
          19     1.59695     1.59674  0.00019879
          20     1.59698     1.59675 0.000189218
          21     1.59693     1.59676 0.000180415
          22      1.5968     1.59676 0.000172226
          23     1.59691     1.59677 0.000164871
          24      1.5969     1.59677 0.000158093
          25     1.59692     1.59678 0.000151875
          26     1.59697     1.59678 0.000146225
          27       1.597     1.59679 0.000141033
          28     1.59678     1.59679 0.000135997
          29     1.59689      1.5968 0.000131352
          30     1.59687      1.5968 0.000126998
