#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0568613   0.0568613           0
           2   0.0572735   0.0570674 0.000145734
           3   0.0577537   0.0572961  0.00021055
           4   0.0560898   0.0569946 0.000305212
           5   0.0565176   0.0568992 0.000258645
           6   0.0583237   0.0571366 0.000305664
           7   0.0607587    0.057654 0.000546024
           8   0.0539998   0.0571973 0.000640961
           9   0.0568605   0.0571598 0.000570834
          10      0.0573   0.0571739 0.000513923
          11    0.054677   0.0569469 0.000514895
          12   0.0555393   0.0568296 0.000485163
          13   0.0591135   0.0570053 0.000478596
          14   0.0572732   0.0570244 0.000444793
          15   0.0573805   0.0570481 0.000415773
          16   0.0570648   0.0570492 0.000389789
          17   0.0570437   0.0570488  0.00036686
          18   0.0544032   0.0569019 0.000374768
          19   0.0567178   0.0568922 0.000355168
          20   0.0554359   0.0568194 0.000344793
          21   0.0570723   0.0568314 0.000328584
          22   0.0566986   0.0568254 0.000313704
          23   0.0546351   0.0567301 0.000314187
          24   0.0577572   0.0567729 0.000303996
          25   0.0563431   0.0567557 0.000292322
          26   0.0559692   0.0567255  0.00028264
          27   0.0551042   0.0566654 0.000278477
          28   0.0588185   0.0567423 0.000278946
          29   0.0563438   0.0567286 0.000269665
          30   0.0570168   0.0567382 0.000260848
