#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1   0.0152778   0.0152778           0
           2   0.0152778   0.0152778           0
           3   0.0152778   0.0152778 1.34425e-10
           4   0.0152778   0.0152778           0
           5   0.0152778   0.0152778           0
           6   0.0152778   0.0152778 9.50527e-11
           7   0.0152778   0.0152778 6.22266e-11
           8   0.0152778   0.0152778 5.82077e-11
           9   0.0152778   0.0152778           0
          10   0.0152778   0.0152778           0
          11   0.0152778   0.0152778 8.59784e-11
          12   0.0152778   0.0152778 8.23181e-11
          13   0.0152778   0.0152778 7.90886e-11
          14   0.0152778   0.0152778 8.80017e-11
          15   0.0152778   0.0152778 8.50177e-11
          16   0.0152778   0.0152778 8.23181e-11
          17   0.0152778   0.0152778 5.64697e-11
          18   0.0152778   0.0152778 3.88051e-11
          19   0.0152778   0.0152778 3.77701e-11
          20   0.0152778   0.0152778           0
          21   0.0152778   0.0152778           0
          22   0.0152778   0.0152778 3.51005e-11
          23   0.0152778   0.0152778  3.4329e-11
          24   0.0152778   0.0152778           0
          25   0.0152778   0.0152778           0
          26   0.0152778   0.0152778           0
          27   0.0152778   0.0152778 3.16842e-11
          28   0.0152778   0.0152778 3.11133e-11
          29   0.0152778   0.0152778 3.05722e-11
          30   0.0152778   0.0152778 4.25089e-11
