#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1      -5.455      -5.455           0
           2    -5.45269    -5.45385 0.000816429
           3    -5.46771    -5.45847  0.00381213
           4    -5.47732    -5.46318  0.00498289
           5    -5.46797    -5.46414  0.00407735
           6    -5.47928    -5.46666  0.00410528
           7     -5.4616    -5.46594  0.00358204
           8    -5.47819    -5.46747  0.00344603
           9    -5.46343    -5.46702  0.00309224
          10    -5.45837    -5.46616  0.00290163
          11    -5.48785    -5.46813  0.00323952
          12    -5.44523    -5.46622  0.00348659
          13    -5.44924    -5.46491  0.00345439
          14    -5.47334    -5.46552  0.00325968
          15     -5.4707    -5.46586  0.00306062
          16    -5.46616    -5.46588  0.00286939
          17    -5.46287     -5.4657  0.00270608
          18    -5.47029    -5.46596  0.00256773
          19    -5.45895    -5.46559  0.00245891
          20    -5.46608    -5.46561  0.00233608
          21    -5.48428     -5.4665  0.00238793
          22    -5.49004    -5.46757  0.00250758
          23    -5.46666    -5.46753  0.00239887
          24    -5.46079    -5.46725  0.00231529
          25    -5.46544    -5.46718  0.00222381
          26    -5.46609    -5.46714  0.00213867
          27    -5.46235    -5.46696  0.00206681
          28     -5.4791    -5.46739  0.00203799
          29    -5.45655    -5.46702  0.00200173
          30     -5.4554    -5.46663  0.00197212
