#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1         1.1         1.1           0
           2         1.1         1.1           0
           3         1.1         1.1           0
           4         1.1         1.1           0
           5         1.1         1.1           0
           6         1.1         1.1 8.60319e-09
           7         1.1         1.1 7.96501e-09
           8         1.1         1.1 7.45058e-09
           9         1.1         1.1 7.02447e-09
          10         1.1         1.1   6.664e-09
          11         1.1         1.1 6.35388e-09
          12         1.1         1.1 6.08337e-09
          13         1.1         1.1 5.84472e-09
          14         1.1         1.1 5.63211e-09
          15         1.1         1.1 5.44113e-09
          16         1.1         1.1 5.26836e-09
          17         1.1         1.1 5.11106e-09
          18         1.1         1.1           0
          19         1.1         1.1           0
          20         1.1         1.1           0
          21         1.1         1.1  4.5986e-09
          22         1.1         1.1 4.49287e-09
          23         1.1         1.1 4.39411e-09
          24         1.1         1.1 4.30159e-09
          25         1.1         1.1 5.96046e-09
          26         1.1         1.1 5.84472e-09
          27         1.1         1.1 5.73546e-09
          28         1.1         1.1 5.63211e-09
          29         1.1         1.1 5.53415e-09
          30         1.1         1.1 5.44113e-09
