#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1      -3.805      -3.805           0
           2    -3.80269    -3.80385 0.000816429
           3    -3.81771    -3.80847  0.00381213
           4    -3.82732    -3.81318  0.00498289
           5    -3.81797    -3.81414  0.00407735
           6    -3.82928    -3.81666  0.00410528
           7     -3.8116    -3.81594  0.00358204
           8    -3.82819    -3.81747  0.00344603
           9    -3.81343    -3.81702  0.00309224
          10    -3.80837    -3.81616  0.00290163
          11    -3.83785    -3.81813  0.00323952
          12    -3.79523    -3.81622  0.00348659
          13    -3.79924    -3.81491  0.00345439
          14    -3.82334    -3.81552  0.00325968
          15     -3.8207    -3.81586  0.00306062
          16    -3.81616    -3.81588  0.00286939
          17    -3.81287     -3.8157  0.00270608
          18    -3.82029    -3.81596  0.00256773
          19    -3.80895    -3.81559  0.00245891
          20    -3.81608    -3.81561  0.00233608
          21    -3.83428     -3.8165  0.00238793
          22    -3.84004    -3.81757  0.00250758
          23    -3.81666    -3.81753  0.00239887
          24    -3.81079    -3.81725  0.00231529
          25    -3.81544    -3.81718  0.00222381
          26    -3.81609    -3.81714  0.00213867
          27    -3.81235    -3.81696  0.00206681
          28     -3.8291    -3.81739  0.00203799
          29    -3.80655    -3.81702  0.00200173
          30     -3.8054    -3.81663  0.00197212
