#   N_BLOCK:  ACCEPTANCE:
           1    0.511355
           2    0.509873
           3    0.510115
           4    0.510883
           5    0.510975
           6     0.51123
           7    0.510922
           8    0.510881
           9    0.510743
          10    0.510689
          11    0.510764
          12    0.510621
          13    0.510241
          14    0.510391
          15    0.510326
          16    0.510259
          17    0.510168
          18    0.510201
          19    0.510111
          20    0.510094
          21    0.510191
          22    0.510271
          23    0.510255
          24    0.510172
          25    0.510198
          26    0.510173
          27    0.510102
          28    0.510161
          29    0.510099
          30    0.510167
