#     BLOCK:  ACCEPTANCE:
1              0.4999
2              0.4915
3              0.4877
4              0.5047
5              0.5078
6              0.4984
7              0.5082
8              0.5053
9              0.4943
10              0.5065
11              0.5027
12              0.4999
13               0.491
14              0.4979
15              0.5138
16              0.4984
17              0.4965
18              0.5033
19              0.4969
20              0.4995
21              0.5038
22              0.5051
23              0.5035
24               0.504
25               0.507
26              0.5065
27              0.5023
28              0.4988
29              0.4999
30              0.5021
31              0.4989
32              0.5028
33              0.5079
34              0.5051
35              0.5069
36              0.5096
37              0.5035
38              0.5091
39               0.499
40              0.5037
41               0.509
42              0.4981
43              0.5057
44               0.499
45               0.495
46              0.5008
47              0.4993
48              0.4987
49               0.504
50               0.505
51              0.4988
52              0.5022
53              0.5021
54              0.4965
55              0.5046
56              0.5034
57              0.5089
58              0.5013
59              0.4871
60              0.5011
61              0.5059
62              0.5025
63              0.5032
64              0.5023
65              0.5034
66              0.4936
67              0.5015
68              0.5078
69              0.4989
70              0.5027
71              0.4978
72              0.5007
73              0.4976
74              0.5042
75              0.5055
76              0.5042
77              0.5009
78              0.5046
79              0.5047
80              0.5008
81              0.5071
82              0.5114
83              0.4994
84              0.5041
85              0.5114
86              0.5013
87              0.5004
88               0.498
89              0.4991
90               0.498
91              0.5091
92              0.5055
93              0.5048
94              0.4938
95              0.5013
96              0.5066
97              0.4954
98              0.5083
99              0.5028
100              0.4972
