#     BLOCK:  ACCEPTANCE:
1               0.529
2               0.492
3               0.509
4               0.515
5               0.505
6               0.509
7               0.513
8               0.502
9               0.537
10               0.534
11               0.526
12               0.549
13               0.546
14               0.522
15               0.512
16                0.53
17               0.514
18               0.497
19               0.511
20               0.495
21               0.521
22               0.524
23               0.519
24               0.521
25               0.508
26                 0.5
27               0.516
28               0.547
29               0.513
30               0.513
31               0.506
32               0.547
33               0.488
34               0.517
35               0.507
36               0.507
37               0.536
38               0.523
39               0.506
40               0.529
41                0.52
42               0.506
43               0.555
44               0.519
45               0.549
46               0.533
47               0.517
48               0.535
49               0.509
50               0.508
51                0.54
52               0.506
53               0.542
54               0.526
55                0.53
56               0.516
57               0.525
58               0.496
59               0.517
60               0.529
61               0.509
62               0.489
63               0.524
64               0.513
65               0.524
66                0.52
67               0.538
68               0.518
69               0.498
70               0.535
71               0.534
72               0.551
73               0.516
74               0.494
75               0.543
76               0.546
77               0.518
78               0.514
79               0.511
80               0.542
81               0.499
82               0.517
83               0.545
84               0.531
85               0.506
86               0.507
87               0.525
88               0.539
89                0.53
90               0.519
91               0.552
92               0.528
93               0.516
94               0.485
95                 0.5
96               0.518
97               0.532
98               0.524
99               0.495
100               0.533
