#     BLOCK:  ACTUAL_E:     E_AVE:      ERROR:
1           -0.250203           -0.250203                   0
2            -0.26608           -0.258141          0.00561326
3           -0.154247            -0.22351            0.028523
4           -0.229339           -0.224967           0.0214295
5           -0.199809           -0.219936           0.0177245
6           -0.138009           -0.206281            0.019327
7           -0.220337           -0.208289             0.01667
8           -0.164171           -0.202774           0.0154716
9           -0.163727           -0.198436           0.0143479
10           -0.214586           -0.200051           0.0130037
11           -0.265702           -0.206019           0.0131199
12           -0.218705           -0.207076           0.0120691
13            -0.17212           -0.204387           0.0114363
14            -0.13365           -0.199335           0.0116824
15           -0.162314           -0.196867           0.0111612
16           -0.165889           -0.194931           0.0106302
17           -0.228119           -0.196883           0.0101826
18           -0.223697           -0.198372          0.00972526
19          -0.0818313           -0.192239           0.0109786
20           -0.163706           -0.190812            0.010522
21           -0.190079           -0.190777            0.010021
22           -0.162187           -0.189478          0.00964936
23           -0.226869           -0.191103          0.00936577
24           -0.160073            -0.18981          0.00906434
25           -0.222199           -0.191106          0.00879386
26           -0.246549           -0.193238          0.00871035
27           -0.162793           -0.192111          0.00846042
28           -0.233588           -0.193592          0.00828693
29           -0.221159           -0.194543          0.00805551
30           -0.117708           -0.191982          0.00818401
31           -0.164247           -0.191087          0.00796876
32           -0.239912           -0.192613          0.00786445
33           -0.308026            -0.19611          0.00836773
34           -0.223986            -0.19693          0.00816168
35           -0.236662           -0.198065          0.00800705
36           -0.239433           -0.199214          0.00786666
37           -0.167899           -0.198368          0.00769944
38           -0.202913           -0.198487          0.00749775
39          -0.0783705           -0.195408          0.00791284
40           -0.184863           -0.195144          0.00771941
41            -0.19168           -0.195059          0.00753159
42           -0.189423           -0.194925          0.00735347
43           -0.101607           -0.192755          0.00749585
44           -0.211263           -0.193176          0.00733729
45           -0.211162           -0.193575          0.00718511
46          -0.0949863           -0.191432          0.00734161
47           -0.215505           -0.191944          0.00720325
48           -0.237513           -0.192894          0.00711547
49           0.0194344            -0.18856          0.00818401
50           -0.196452           -0.188718          0.00802186
51           -0.229574           -0.189519          0.00790446
52           -0.188894           -0.189507          0.00775246
53           -0.208954           -0.189874          0.00761487
54           -0.258527           -0.191146          0.00757924
55           -0.208443            -0.19146          0.00744796
56           -0.226411           -0.192084          0.00734106
57           -0.208113           -0.192365          0.00721765
58           -0.125544           -0.191213          0.00718457
59           -0.205064           -0.191448          0.00706663
60           -0.253741           -0.192486          0.00702471
61           -0.275055            -0.19384          0.00703875
62           -0.180996           -0.193633          0.00692827
63           -0.172156           -0.193292          0.00682668
64           -0.248291           -0.194151          0.00677389
65           -0.193516           -0.194141          0.00666968
66           -0.254032           -0.195049          0.00663007
67            -0.24206           -0.195751          0.00656813
68           -0.239073           -0.196388          0.00650237
69           -0.216665           -0.196682          0.00641477
70           -0.221249           -0.197032          0.00633272
71           -0.211775            -0.19724          0.00624693
72           -0.235753           -0.197775          0.00618303
73            -0.25617           -0.198575          0.00614986
74           -0.284237           -0.199733          0.00617474
75           -0.185648           -0.199545          0.00609526
76            -0.11678           -0.198456          0.00611157
77           -0.111317           -0.197324          0.00613608
78           -0.176931           -0.197063          0.00606298
79           -0.278415           -0.198092          0.00607305
80           -0.174064           -0.197792          0.00600456
81           -0.202537           -0.197851          0.00593072
82           -0.142611           -0.197177          0.00589653
83           -0.239431           -0.197686          0.00584742
84           -0.249081           -0.198298          0.00580973
85           -0.182992           -0.198118          0.00574417
86           -0.233682           -0.198531          0.00569224
87             -0.2085           -0.198646          0.00562797
88           -0.184794           -0.198489          0.00556622
89           -0.165735           -0.198121          0.00551583
90           -0.187784           -0.198006          0.00545574
91            -0.23713           -0.198436           0.0054127
92           -0.184873           -0.198288          0.00535587
93           -0.246757           -0.198809          0.00532358
94            -0.13431           -0.198123          0.00531098
95            -0.23138           -0.198473           0.0052666
96           -0.174648           -0.198225          0.00521758
97           -0.198054           -0.198223          0.00516379
98           -0.203061           -0.198273          0.00511134
99           -0.212035           -0.198412           0.0050616
100           -0.170251            -0.19813          0.00501881
