#Step:       Beta:       E_tot:       Err:
1                 0.5             46.1516            0.765723
2            0.505051           0.0362473          0.00628179
3            0.510152          -0.0340459           0.0171114
4            0.515305            0.318989           0.0363895
5             0.52051            0.107152          0.00692654
6            0.525768           -0.137312           0.0154732
7            0.531079           -0.129329           0.0158193
8            0.536443          -0.0238137          0.00551392
9            0.541862           -0.196922           0.0133077
10            0.547335             3.50649           0.0714315
11            0.552864           -0.415194           0.0034339
12            0.558448            0.772407           0.0111658
13            0.564089           0.0800678           0.0228224
14            0.569787           -0.191131           0.0069365
15            0.575542           -0.283869          0.00508147
16            0.581356             0.95485          0.00965197
17            0.587228          -0.0970855          0.00488867
18             0.59316            -0.17935           0.0139412
19            0.599151           -0.176465          0.00495471
20            0.605203           -0.151482          0.00519105
21            0.611316           0.0278942          0.00664759
22            0.617491           -0.335405          0.00599824
23            0.623729           -0.222744           0.0100629
24            0.630029           0.0552527          0.00891127
25            0.636393           -0.418281          0.00369332
26            0.642821           -0.232955           0.0100035
27            0.649314           -0.233078          0.00686706
28            0.655873            0.603025            0.019359
29            0.662498           -0.445041          0.00248917
30             0.66919           -0.421114          0.00287275
31            0.675949            0.172963           0.0219242
32            0.682777             3.00872            0.078791
33            0.689674            0.639256          0.00961651
34             0.69664           -0.162193           0.0145382
35            0.703677           -0.277362          0.00447462
36            0.710785           -0.169978          0.00523187
37            0.717965           -0.314328          0.00352149
38            0.725217            0.308434           0.0207617
39            0.732542             2.36375           0.0299885
40            0.739942             1.95496           0.0618041
41            0.747416           -0.302717          0.00617405
42            0.754965           -0.327196          0.00361344
43            0.762591             1.78138           0.0365902
44            0.770294             2.12149           0.0520872
45            0.778075           -0.333861          0.00587278
46            0.785934           -0.298071          0.00374939
47            0.793873              1.1675           0.0552094
48            0.801892            0.358295           0.0336478
49            0.809992            0.770465           0.0140946
50            0.818174           -0.219218           0.0115982
51            0.826438           -0.145172          0.00515377
52            0.834786           -0.212795          0.00516425
53            0.843218            0.193471           0.0195411
54            0.851735           -0.267523          0.00559261
55            0.860339         -0.00392403          0.00599099
56            0.869029            0.219129            0.025625
57            0.877807           -0.177411          0.00488746
58            0.886674            0.544717           0.0413158
59             0.89563            0.379263           0.0103898
60            0.904677            0.413732           0.0410346
61            0.913815          -0.0855815          0.00500307
