#     BLOCK:  ACTUAL_E:     E_AVE:      ERROR:
1           -0.454925           -0.454925                   0
2           -0.429621           -0.442273          0.00894613
3           -0.390797           -0.425114           0.0152266
4           -0.468302           -0.435911           0.0147596
5           -0.462657           -0.441261           0.0127402
6           -0.462297           -0.444767           0.0110888
7           -0.451213           -0.445687          0.00954281
8           -0.428874           -0.443586          0.00857827
9           -0.464755           -0.445938          0.00794106
10           -0.413363            -0.44268          0.00778648
11           -0.439668           -0.442407          0.00708343
12           -0.435463           -0.441828          0.00651674
13           -0.440331           -0.441713          0.00601647
14           -0.455977           -0.442732          0.00567234
15            -0.45461           -0.443524          0.00534918
16           -0.430775           -0.442727          0.00507385
17             -0.4732           -0.444519          0.00508218
18            -0.45624            -0.44517          0.00484138
19           -0.431798           -0.444467          0.00463744
20           -0.451226           -0.444805          0.00441787
21           -0.432292           -0.444209          0.00424749
22           -0.448246           -0.444392          0.00405838
23           -0.436174           -0.444035          0.00389763
24           -0.461349           -0.444756           0.0038014
25           -0.419839            -0.44376          0.00377775
26           -0.426588           -0.443099          0.00368973
27           -0.441766            -0.44305           0.0035534
28           -0.488671           -0.444679          0.00378164
29           -0.451849           -0.444926          0.00365931
30           -0.428211           -0.444369           0.0035795
31           -0.443704           -0.444348           0.0034641
32           -0.453556           -0.444636          0.00336778
33           -0.384059             -0.4428          0.00373262
34           -0.438927           -0.442686          0.00362458
35           -0.434064            -0.44244          0.00352938
36           -0.431094           -0.442124          0.00344538
37            -0.45638            -0.44251          0.00337374
38           -0.476556           -0.443406          0.00340184
39           -0.467451           -0.444022          0.00337002
40           -0.435712           -0.443814          0.00329217
41           -0.452436           -0.444025          0.00321858
42           -0.451063           -0.444192          0.00314631
43           -0.461959           -0.444606          0.00310015
44           -0.427062           -0.444207          0.00305522
45           -0.458656           -0.444528          0.00300416
46           -0.461578           -0.444899          0.00296163
47           -0.423776           -0.444449          0.00293251
48           -0.472277           -0.445029          0.00292816
49           -0.453879           -0.445209          0.00287397
50           -0.413949           -0.444584           0.0028837
51           -0.460696             -0.4449          0.00284441
52           -0.443997           -0.444883          0.00278976
53           -0.441737           -0.444823          0.00273775
54           -0.460021           -0.445105          0.00270148
55           -0.466965           -0.445502          0.00268144
56           -0.468851           -0.445919          0.00266578
57            -0.47145           -0.446367          0.00265637
58           -0.464584           -0.446681          0.00262907
59           -0.423393           -0.446287          0.00261398
60           -0.378041           -0.445149          0.00280699
61           -0.445005           -0.445147          0.00276097
62           -0.430267           -0.444907          0.00272685
63           -0.449162           -0.444974           0.0026844
64           -0.449791            -0.44505          0.00264352
65            -0.48786           -0.445708          0.00268364
66           -0.431648           -0.445495          0.00265142
67           -0.432517           -0.445302          0.00261891
68           -0.473707           -0.445719           0.0026135
69           -0.434746            -0.44556          0.00258046
70           -0.431761           -0.445363          0.00255112
71           -0.434563           -0.445211          0.00251971
72           -0.418861           -0.444845          0.00251115
73           -0.417616           -0.444472          0.00250431
74           -0.435746           -0.444354          0.00247324
75           -0.439825           -0.444294            0.002441
76           -0.419971           -0.443974          0.00242977
77           -0.467227           -0.444276          0.00241691
78           -0.475763           -0.444679           0.0024194
79           -0.389717           -0.443984           0.0024868
80           -0.444513            -0.44399          0.00245572
81           -0.448304           -0.444043          0.00242598
82           -0.431182           -0.443887          0.00240146
83            -0.41973           -0.443596           0.0023901
84           -0.389887           -0.442956          0.00244567
85           -0.452985           -0.443074          0.00241974
86           -0.432146           -0.442947          0.00239494
87           -0.455705           -0.443094           0.0023719
88           -0.427672           -0.442918          0.00235141
89           -0.410971            -0.44256          0.00235223
90           -0.477372           -0.442946          0.00235768
91           -0.479331           -0.443346          0.00236543
92           -0.443978           -0.443353          0.00233973
93           -0.444533           -0.443366          0.00231461
94           -0.455907           -0.443499          0.00229383
95            -0.44891           -0.443556          0.00227039
96           -0.396165           -0.443062          0.00229978
97           -0.439754           -0.443028          0.00227633
98           -0.487067           -0.443478          0.00229702
99           -0.463768           -0.443683          0.00228295
100           -0.449017           -0.443736          0.00226074
