#Step:       Beta:       mu:       sigma:
1                 0.5                   2                   2
2            0.505051           -0.532736           -0.579987
3            0.510152            0.676269            -1.02048
4            0.515305            0.404222             1.28312
5             0.52051             0.20589            0.649026
6            0.525768             0.83033            0.874016
7            0.531079           -0.442279              1.0784
8            0.536443           -0.321051           -0.671289
9            0.541862            0.242942             1.08568
10            0.547335             1.25004            -1.16171
11            0.552864           -0.741739            -1.20536
12            0.558448          -0.0536012            0.489169
13            0.564089            0.507322            -1.18208
14            0.569787            0.039879            0.257288
15            0.575542            0.879762           -0.913736
16            0.581356            -1.35166            -0.42472
17            0.587228            0.435002           -0.871464
18             0.59316           -0.377884            -1.06874
19            0.599151           -0.461885            -0.66321
20            0.605203            0.338665            0.754556
21            0.611316            0.206264           -0.692765
22            0.617491           -0.639671            0.782889
23            0.623729               0.325            -1.03761
24            0.630029            0.523732            -0.42637
25            0.636393             1.41979            0.949036
26            0.642821          -0.0981289            -1.05503
27            0.649314          -0.0675313            0.947613
28            0.655873            -1.20612             0.72569
29            0.662498            0.802942           -0.588362
30             0.66919            0.733012            0.578344
31            0.675949            0.792179             1.02047
32            0.682777            -1.12428             1.24619
33            0.689674            0.130528            0.506036
34             0.69664           -0.048309           -0.932463
35            0.703677           -0.499318           -0.812571
36            0.710785           -0.950028            -1.31999
37            0.717965            0.592697            0.651416
38            0.725217            -1.16627           -0.680344
39            0.732542           -0.948534           -0.259056
40            0.739942            -0.98394            0.901335
41            0.747416             0.98055           -0.637895
42            0.754965            0.592327             0.68262
43            0.762591            -1.30401            0.850724
44            0.770294             -1.2109             1.01715
45            0.778075            0.669064           -0.793826
46            0.785934           -0.561026            0.685722
47            0.793873            0.851231             1.24905
48            0.801892            0.185946             -1.3437
49            0.809992            -1.58602            0.485431
50            0.818174           -0.502763            0.987317
51            0.826438          -0.0881915             -1.3645
52            0.834786           -0.715012            -1.04036
53            0.843218             1.05526            0.804064
54            0.851735          -0.0083997             1.22901
55            0.860339          -0.0744788           -0.740063
56            0.869029           -0.214601           -0.778569
57            0.877807            -1.09893            -0.50116
58            0.886674            0.489733            -1.29588
59             0.89563            0.223621           -0.481333
60            0.904677            0.401281             1.30306
61            0.913815           -0.477438           -0.520735
62            0.923046            0.535229             1.14216
63            0.932369            0.178002            0.555045
64            0.941787             1.10358            0.386655
65              0.9513            0.337446            0.840403
66            0.960909            0.608903            0.956922
67            0.970615             0.46226            -1.16357
68             0.98042            -1.40345            0.594705
69            0.990323            0.729673            0.796645
